UDP Outside  66.185.167.133:0 Inside  10.5.27.144:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.144:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.79.101:5060, idle 0:00:07, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.79.101:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.131:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.131:5060, idle 0:00:11, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.53.106:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.53.106:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.177:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.177:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.153:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.153:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.113:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.113:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.113:5060, idle 0:03:57, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.88.107:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.88.107:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.43.57:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.43.57:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.98.103:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.98.103:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.43.52:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.43.52:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.134:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.134:5060, idle 0:00:16, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.124.106:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.124.106:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.79.150:5060, idle 0:00:11, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.79.150:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.15.105:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.15.105:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.15.105:5060, idle 0:01:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.15.105:5060, idle 0:01:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.15.105:5060, idle 0:01:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.116:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.116:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.109:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.109:5060, idle 0:00:03, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.112:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.112:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.43.127:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.43.127:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.124:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.124:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.181:5060, idle 0:00:16, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.181:5060, idle 0:00:19, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.51:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.51:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.56.157:5060, idle 0:00:16, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.56.157:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.76.107:5060, idle 0:00:17, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.76.107:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.121:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.121:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.179:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.179:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.187:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.187:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.187:5060, idle 0:01:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.64.104:5060, idle 0:00:12, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.64.104:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.34.158:5060, idle 0:00:12, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.34.158:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.163:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.163:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.8.22.219:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.22.219:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.22.219:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.8.22.219:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.105:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.105:5060, idle 0:00:19, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.105:5060, idle 0:00:30, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.40.59:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.40.59:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.171:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.171:5060, idle 0:00:19, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.152:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.152:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.20.188:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.8.20.188:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  208.87.254.99:5060 Inside  10.5.151.104:5060, idle 0:22:11, bytes 40247, flags TX 
UDP Outside  66.171.145.244:0 Inside  10.5.27.119:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.119:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.155:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.155:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.36.177:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.36.177:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.36.113:5060, idle 0:00:02, bytes 0, flags ti 
